absence_id,employee_id,absence_type,plan_code,start_date,end_date,duration_days,applied_date,approved_by,approval_date,absence_status,reason,remarks,half_day_flag,attachment_provided,department,location
ABSSPIDJIVHA,,UNKNOWN_TYPE_XYZ,CL-PLAN-03,,2024-05-21,-1,2024-06-03,EMP00017,2024-05-19,UNKNOWN,Child Care,,N,Yes,Human Resources,Toronto
ABSVLXAWM3O7,EMP00199,Sick Leave,ML-PLAN-04,2024-11-01,2024-11-04,4,2024-10-30,EMP00017,2024-11-02,Rejected,Child Care,,N,Yes,Engineering,London
ABSXEVZ2O1BG,EMP00598,Casual Leave,CL-PLAN-03,2022-09-03,2022-09-12,10,2022-08-21,EMP00020,2022-08-25,Approved,Marriage,,N,No,Product,Singapore
ABSG1XY7H79A,EMP00678,Casual Leave,ML-PLAN-04,2024-02-13,2024-02-14,2,2024-01-25,EMP00042,2024-01-28,Pending,Medical,None,N,N/A,Finance,Mumbai
ABSM7DKQNJJI,EMP00266,Compensatory Off,PL-PLAN-05,2023-08-09,2023-08-13,5,2023-07-16,EMP00014,2023-07-18,Rejected,Vacation,None,N,Yes,Marketing,Sydney
ABS3EL3YUBCE,EMP00555,Sick Leave,UL-PLAN-07,2022-04-26,2022-05-08,13,2022-04-09,EMP00008,2022-04-12,Rejected,Family,,Y,Yes,Marketing,Mumbai
ABS1EGEUUV6Y,EMP00488,Bereavement Leave,CL-PLAN-03,2024-12-26,2025-01-03,9,2024-11-28,EMP00016,2024-12-03,Approved,Other,None,N,Yes,Finance,New York
ABS3ZW27MCZY,EMP00644,Compensatory Off,BL-PLAN-08,2022-01-30,2022-02-02,4,2022-01-16,EMP00028,2022-01-21,Approved,Emergency,Urgent,N,Yes,Marketing,Bengaluru
ABSCTY0HNT30,EMP00214,Sick Leave,SL-PLAN-02,2022-12-07,2022-12-09,3,2022-12-01,EMP00031,2022-12-03,Approved,Child Care,,Y,Yes,Product,Toronto
ABSX8MYR6GUY,EMP00013,Unpaid Leave,ML-PLAN-04,2023-04-02,2023-04-04,3,2023-03-17,EMP00050,2023-03-19,Rejected,Medical,Pre-planned,N,No,Product,Sydney
ABSRYM064U5P,EMP00714,Compensatory Off,PL-PLAN-05,2024-07-05,2024-07-02,5,2024-07-01,EMP00026,2024-07-02,Cancelled,Personal,Recurring,N,Yes,Human Resources,Mumbai
ABSTIC3W1EV6,EMP00118,Compensatory Off,ML-PLAN-04,2024-05-07,2024-05-11,5,2024-04-13,EMP00049,2024-04-14,Rejected,COVID-19,Recurring,N,Yes,Sales,Sydney
ABSOHEV2TLHK,EMP00750,Unpaid Leave,SL-PLAN-02,2024-04-29,2024-05-08,10,2024-04-12,EMP00032,2024-04-13,Withdrawn,Emergency,Urgent,N,No,Marketing,Toronto
ABSZ80Z34T89,EMP00619,Bereavement Leave,AL-PLAN-01,2022-07-02,2022-07-06,5,2022-06-19,EMP00018,2022-06-21,Cancelled,Child Care,Urgent,Y,Yes,Operations,Mumbai
ABSG6JTENF94,EMP00400,Maternity Leave,AL-PLAN-01,2024-09-28,2024-10-11,14,2024-09-23,EMP00028,2024-09-24,Rejected,Travel,Recurring,N,No,Human Resources,Bengaluru
ABSXTS79R5OQ,EMP00032,Casual Leave,BL-PLAN-08,2023-11-07,2023-11-10,11,2023-10-16,EMP00032,2023-10-21,Rejected,Vacation,Urgent,N,Yes,Legal,Singapore
ABSME1EQA1T4,EMP00076,Work From Home,CO-PLAN-06,2024-12-23,2024-12-25,3,2024-12-08,EMP00030,2024-12-11,Rejected,Emergency,None,Y,No,Product,London
